company_id,company_name,country,size,logo,website,about_us
86156,VietSunshine,Vietnam,25-99,https://assets.topdev.vn/images/2022/05/31/TopDev-VietSunnshine-Logo-1653968653.png,https://vietsunshine.com.vn/,"VietSunshine - là nhà phân phối các giải pháp an ninh mạng, giải pháp chuyển đổi số, hạ tầng CNTT, dịch vụ kiểm tra và đánh giá ATTT."
86774,HOPEE,Vietnam,25-99,https://assets.topdev.vn/images/2022/06/14/TopDev-z29014312455472ed0f0ce158edd1a91d9f91e0609f608-HopeeHR-1655170673.jpg,https://hopee.com.vn/,"HOPEE is a professional ‘offshore’ software development organization. To thrive on delivering challenging projects for a wide variety of customers, we use the latest technologies to develop software for business intelligence, ERP, relationship networks, GIS, risk management systems and application for mobile devices. Our vision and mission are not only to open, strengthen our business market in IT Software field but also to provide you a chance for your career path, to enrich your professional knowledge and commitment to build a friendly, energetic and enthusiastic working environment."
86997,Eximbank,Vietnam,5.000-9.999,https://assets.topdev.vn/images/2024/06/21/TopDev-BHG8Qo9GT8Dhr332-1718941218.png,https://tuyendungeximbank.com/,"Eximbank được thành lập vào ngày 24/05/1989, là một trong những Ngân hàng thương mại cổ phần đầu tiên của Việt Nam. Eximbank có địa bàn hoạt động rộng khắp cả nước với Trụ Sở Chính đặt tại TP. Hồ Chí Minh và 215 chi nhánh và phòng giao dịch trên toàn quốc và đã thiết lập quan hệ đại lý với 869 Ngân hàng tại 84 quốc gia trên thế giới."
87137,"Công ty Cổ phần Truyền thông Iris",Vietnam,25-99,https://assets.topdev.vn/images/2020/11/09/iris-media-logo.jpg,https://irismedia.vn/,"CÔNG TY CỔ PHẦN TRUYỀN THÔNG IRIS là doanh nghiệp hoạt động trong lĩnh vực Công nghệ thông tin và Truyền thông."
87151,"Woori Bank",South-Korea,500-999,https://assets.topdev.vn/images/2022/08/26/TopDev-295509125703921667691438456616260143748810n-MaiAnh-1661489442.jpg,https://www.woori.com.vn,"Ngân hàng Woori Việt Nam là ngân hàng có 100% vốn đầu tư của nước ngoài, có mặt lần đầu tiên tại Việt Nam vào năm 1997, cho đến năm 2017 thì thành lập pháp nhân chính thức với tên gọi Ngân hàng TNHH MTV Woori Việt Nam (Ngân hàng Woori Việt Nam), đặt Hội sở tại Hà Nội. Sau khi thành lập pháp nhân, Ngân hàng Woori Việt Nam đã mở rộng mạng lưới kinh doanh, có mặt ở hầu hết các thành phố lớn như Hà Nội, TP. Hồ Chí Minh, Đà Nẵng, Cần Thơ,… với 24 chi nhánh và phòng giao dịch trên cả nước."
87926,"CÔNG TY TNHH RETAIL HERO VIETNAM","United States",25-99,https://assets.topdev.vn/images/2020/11/09/retail-management-hero-logo.png,https://www.rmhpos.com/,"Founded in 2014 in Northern California, Retail Management Hero (RMH) is a privately-owned software development company focused on continually innovating retail in ways that empower retailers with intuitive point-of-sale (POS) solutions that simplify and streamline store management. The company’s flagship product, RMH point-of-sale, was launched early 2016 to give small-to-medium retailers a seamless next-generation replacement solution for the end-of-life Microsoft Dynamics Retail Management System (RMS).RMH development team members on average each have 15+ years of experience in software development, implementation, support, quality assurance, and/or partner management. A majority of them have a strong Microsoft background and were instrumental in the evolution of Dynamics RMS in terms of selling, supporting and/or developing complete integrations for more than a decade."
88128,"Công ty TNHH Thị Giác META",Japan,25-99,https://assets.topdev.vn/images/2021/08/23/TopDev-logo9MBi0AUAINmVbJJu6exIHi2d7fDMaW6A-1629687628.png,https://meta-vi.vn/,"Meta Vision Co., Ltd là công ty liên doanh giữa doanh nghiệp Nhật Bản và doanh nghiệp Việt Nam với mục tiêu tạo ra những giá trị mới dựa trên tài năng của nguồn nhân lực trẻ Việt Nam. Chúng tôi hướng đến các giải pháp thông minh cho các nhà máy và cung cấp dịch vụ gia công phần mềm."
88386,SmartSign,Vietnam,25-99,https://assets.topdev.vn/images/2020/11/09/ch-ky-s-vina-vinaca-logo.png,https://www.smartsign.com.vn/,"Công Ty Cổ Phần Chữ Ký Số Vi Na là một trong 10 đơn vị cung cấp dịch vụ chứng thư số công cộng được Bộ TT&TT cấp giấy phép.  Được thành lập từ năm 2009, Công Ty Cổ Phần Chữ Ký Số Vi Na  đã cung cấp dịch vụ cho hơn 200.000 doanh nghiệp và cá nhân. Chúng tôi hướng đến cung cấp dịch vụ tốt nhất và nhanh nhất, hỗ trợ nhiệt tình nhất và luôn giữ cam kết."
88647,"CÔNG TY TNHH MITEK VIỆT NAM","United States","Hơn 1000",https://assets.topdev.vn/images/2022/04/12/TopDev-5177fd7af46a06086b37826de40035fa-1649746004.png,https://mitekvietnam.com.vn/vi,"MiTek® is a global company focused on providing integrated software, services, engineered products and automated solutions for the building industry worldwide. Innovating and expanding into aspects of global building, MiTek® empowers customers to improve the way they design, make and build."
88684,"Ngân hàng TMCP Hàng Hải Việt Nam (MSB)",Vietnam,"Hơn 1000",https://assets.topdev.vn/images/2021/09/27/TopDev-3a1441dc6eeb30a7e676c538a9438cbf-1632727590.PNG,https://d-innovation.msb.com.vn/,"Ngay từ khi thành lập, MSB đã ghi dấu ấn trong ngành Ngân hàng khi tiên phong ứng dụng Công nghệ."
88817,"NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN KIÊN LONG",Vietnam,"Hơn 1000",https://assets.topdev.vn/images/2024/06/14/TopDev-logo-kienlongbank_64e3409558de2-1718329390.png,https://kienlongbank.com/,"Kien Long Bank"
89389,"ARCH Việt Nam",Japan,10-24,https://assets.topdev.vn/images/2020/11/09/arch-logo.jpg,https://arch-vietnam.vn/,"Arch VN là công ty 100% vốn đầu tư của Nhật Bản ra đời vào tháng 5 năm 2015."
91783,"Megazone Vietnam Company Limited",South-Korea,25-99,https://assets.topdev.vn/images/2020/11/26/Megazone-Vietnam-Logo-IICyL.png,https://www.megazone.com/,
91848,"Ngân hàng TMCP An Bình (ABBANK)",Vietnam,"Hơn 1000",https://assets.topdev.vn/images/2020/12/10/logoix91C4zNZxjSXOSWq4xUrJZcHpUbB3xH-39Ezs.png,https://www.abbank.vn/,"Ngân hàng TMCP An Bình (ABBANK) được thành lập ngày 13/05/1993, với tầm nhìn trở thành một trong những Ngân hàng TMCP hàng đầu Việt Nam tập trung vào lĩnh vực bán lẻ."
91900,"CÔNG TY TNHH CYLLENGE VIỆT NAM",Japan,25-99,https://assets.topdev.vn/images/2024/04/04/TopDev-Anh-chup-man-hinh-2024-04-04-134925-1712213484.png,https://www.cyllenge.co.jp/,"CYLLENGE VIỆT NAM is a 100% foreign-invested subsidiary of CYLLENGE Corporation in Japan, based in Tan Binh district, Ho Chi Minh city, Vietnam."
92209,INNOCHEE,Vietnam,25-99,https://assets.topdev.vn/images/2021/04/22/InnocheeLogo-MZjqH.png,http://innochee.vn,"Công ty INNOCHEE hoạt động trong lĩnh vực phát triển hệ thống và các giải pháp phần mềm. Thị trường hoạt động và khách hàng chủ yếu đến từ Nhật Bản."
92332,"DaouKiwoom Innovation",South-Korea,100-499,https://assets.topdev.vn/images/2021/10/13/TopDev-a2e0e7e1982f3c25749201e3a46583af-1634107722.PNG,https://www.daou.co.kr/en/company/group,"DaouKiwoom Group has been one of the leading companies in Korea's IT and financial services with the total revenue of 2.2billion USD, profit of 1 billion USD and more than 5,000 employees in 2020."
92338,"APOLLO SOLUTIONS","Not found!","Not found!",https://assets.topdev.vn/images/2023/01/12/TopDev-imgpshfullsizeanim7-1673516018.png,"Not found!","Apollo luôn mong muốn xây dựng công ty phát triển giải pháp công nghệ chuyên nghiệp. Môi trường làm việc linh hoạt và hiệu quả cao. Đề cao việc xây dựng giá trị bền vững, phát triển liên tục và tôn trọng lẫn nhau; đòi hỏi các thành viên tại Apollo phải luôn nỗ lực, tập trung, nâng cao năng lực, cùng nhau xây dựng những giải pháp có chất lượng cao, giải quyết hiệu quả các vấn đề thực sự của khách hàng."
92367,"Care Health",Singapore,25-99,https://assets.topdev.vn/images/2023/08/03/TopDev-25f6746a7067509100f52fc0be445eb0-1691036286.jpg,https://www.getcare.io/health-resources,"Care is on a mission to create a world where healthcare is patient-centered, seamless, and accessible anywhere.  We are in a strategic partnership with our sister company, Raffles Medical Group, to provide 100+ medical services digitally in 14 cities and more.  Today, our app is used at the frontlines of COVID19 to support doctors through telemedicine, vaccine paassports, and test certificates. As the digital natives of today become the aging population of tomorrow, we hope to use this momentum to build a health "superapp" that makes healthcare and insurance seamless.  We are an engineer-led company that seeks clean code, uptime, and product-market fit. Come join us, and bring your talents to solve the biggest problems in the world today."
92369,"Viettel Digital",Vietnam,500-999,https://assets.topdev.vn/images/2022/01/24/TopDev-Asset-15-1643008749.png,https://digital.viettel.vn/,"Viettel Digital – Tổng Công ty thành viên thứ 8 của Tập đoàn Công nghiệp – Viễn thông Quân đội"
92398,"Công ty cổ phần Base Enterprise",Vietnam,100-499,https://assets.topdev.vn/images/2021/07/15/TopDev-64fad1dd63a1d32122a526b66a52d64c-1626318193.png,https://base.vn/,"Base.vn is a B2B SaaS (Software-as-a-Service) Company providing technology management solutions for SMEs enterprises."
92534,EAERA,Vietnam,25-99,https://assets.topdev.vn/images/2022/01/05/TopDev-Image-1-1641355446.png,https://eaera.com/,"EAERA is a fintech company, launched in Vietnam in 2017 with an aim of making trading in various assets easy and accessible to everyone."
